id X Y Z
281 87321.52344 12545.31738 46.9469986
282 87334.00781 12542.18262 47.02399826
283 87347.6875 12540.93457 46.89899826
284 87356.25 12529.77734 46.97100067
285 87368.71875 12513.2998 47.36199951
286 87650.39844 12488.17285 52.11999893
287 87633.92969 12489.84766 50.86500168
288 87623.42188 12490.66016 50.70800018
289 87646.24219 12492.50781 50.83399963
290 87621.53906 12503.94727 50.6780014
291 87631.82813 12508.24121 50.64099884
292 87645.57031 12493.69238 50.15999985
293 87618.47656 12529.96094 50.49399948
294 87624.11719 12534.87012 50.1629982
295 87644.50781 12507.81348 50.18500137
296 87620.625 12557.96484 50.00799942
297 87640.1875 12524.14258 49.95800018
298 87613.19531 12547.92578 49.63499832
299 87637.82031 12538.32227 49.90499878
300 87613.72656 12543.49219 49.68000031
301 87637.38281 12531.56738 49.1269989
302 87661.71875 12491.50586 51.45999908
303 87633.20313 12542.9502 48.2879982
304 87601.59375 12530.40918 50.32500076
305 87665.05469 12504.84473 51.8429985
306 87600.14844 12545.69824 50.55799866
307 87634.51563 12546.58203 49.58599854
308 87661.47656 12494.20996 50.15800095
309 87633.19531 12560.96875 48.89599991
310 87664.02344 12506.00684 50.50299835
311 87630.53906 12581.76367 48.44100189
312 87604.80469 12544.95703 49.67699814
313 87627.4375 12595.65137 47.69200134
314 87658.9375 12530.34766 50.04800034
315 87618.75781 12568.24805 49.93899918
316 87625.55469 12602.33203 47.1780014
317 87654.85156 12545.47363 50.16699982
318 87627.25 12609.69336 46.60400009
319 87615.67188 12592.28418 49.2179985
320 87600.91406 12555.90039 49.72000122
321 87616.39063 12594.77148 48.30400085
322 87651.625 12564.66211 49.35200119
323 87614.41406 12600.96191 48.11299896
324 87601.05469 12580.58984 49.12900162
325 87615.67969 12603.81055 46.34999847
326 87648.8125 12586.32422 48.38399887
327 87606.92969 12585.86914 49.08100128
328 87620.80469 12606.04688 46.0019989
329 87647.27344 12610.01367 47.94499969
330 87610.75 12604.39063 47.93199921
331 87637.125 12612.81934 45.83499908
332 87647.14844 12615.81445 45.95600128
333 87612.04688 12609.2168 47.93500137
334 87615.14063 12615.65039 47.34199905
335 87595.85156 12627.42285 46.82400131
336 87613.10156 12629.77344 46.76399994
337 87630.24219 12615.09375 46.07899857
338 87646.92969 12619.13379 45.89799881
339 87612.52344 12638.03223 46.42100143
340 87627.97656 12623.66699 46.62099838
341 87646.97656 12618.17969 45.99399948
342 87611.52344 12651.0752 46.74700165
343 87615.49219 12661.76563 46.47700119
344 87628.36719 12633.06543 50.70700073
345 87647.53906 12627.69824 46.72800064
346 87603.82813 12619.49414 47.1629982
347 87619.97656 12668.82813 46.27999878
348 87646.78906 12633.55859 49.60300064
349 87627.92188 12644.37891 50.80500031
350 87594.96094 12641.50488 46.80599976
351 87646.28906 12647.72656 51.64300156
352 87621.89063 12583.25488 45.26499939
353 87636.10156 12640.62695 52.5890007
354 87599.91406 12655.17871 46.97800064
355 87624.72656 12560.21973 45.33399963
356 87630.625 12530.08008 45.75500107
357 87639.5625 12644.3418 51.81499863
358 87593.26563 12676.98145 46.59799957
359 87593.41406 12699.83203 46.36199951
360 87604.23438 12650.05762 46.58100128
361 87607.11719 12661.58105 46.32699966
362 87612.64063 12676.73438 46.00899887
363 87606.34375 12674.69043 46.57699966
364 87608.125 12688.25977 46.55899811
365 87621.32031 12689.80078 46.81399918
366 87621.58594 12698.37598 46.57600021
367 87627.65625 12680.11328 46.10499954
368 87617.74219 12706.11133 46.54299927
369 87646.08594 12650.61816 50.97399902
370 87630.02344 12649.35547 49.87900162
371 87635.23438 12647.11621 51.32300186
372 87633.07813 12654.94727 49.53099823
373 87616.92188 12716.11523 46.40200043
374 87636.92188 12658.73633 49.66899872
375 87634.60938 12690.58594 46.17699814
376 87649.79688 12660.33105 49.31499863
377 87642.04688 12685.5332 46.62099838
378 87635.76563 12662.76758 47.95100021
379 87622.50781 12715.78516 45.87599945
380 87646.50781 12689.66699 47.36999893
381 87640.69531 12656.9043 49.79100037
382 87647.57813 12664.15723 47.59199905
383 87631.14844 12717.49902 45.9620018
384 87636.48438 12650.3916 50.51300049
385 87633.25 12702.87305 46.44599915
386 87649.8125 12694.95215 47.46099854
387 87643.08594 12658.83008 47.84600067
388 87647.85156 12656.38379 47.70399857
389 87644.07813 12652.44336 47.82500076
390 87651.99219 12695.16504 46.55899811
391 87642.0625 12672.39941 48.01399994
392 87627.8125 12710.25 44.76499939
393 87656.76563 12700.15039 46.71099854
394 87659.44531 12674.13086 47.65299988
395 87655.59375 12696.66602 45.32500076
396 87642.28906 12712.77637 46.13700104
397 87661.96094 12707.89453 46.8730011
398 87660.26563 12689.18945 47.47600174
399 87667.97656 12716.35059 46.66899872
400 87658.66406 12697.63281 46.58399963
401 87654.3125 12711.00977 46.95800018
402 87645.03906 12682.78906 46.73099899
403 87668.92969 12720.46875 46.29299927
404 87648.28125 12708.43359 46.3370018
405 87671.42188 12715.91992 46.23899841
406 87678.46094 12720.4248 46.21699905
407 87677.10938 12717.0166 46.32400131
